SelectionDescent;PronfMode;InsertProj;OptimizeBinaryExpression;OrderingQueryJoin;SampleSizeDataSize;temps;nbr_join
1;1;0;0;0;0;1000;997;0
1;1;0;0;0;0;1000;8494;0
1;1;0;0;0;0;1000;8161;0
1;1;0;0;0;0;1000;71639;1
1;1;0;0;0;0;1000;322365;1
